Unnamed: 0,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q64_First Click,Q64_Last Click,Q64_Page Submit,Q64_Click Count,Q111_First Click,Q111_Last Click,Q111_Page Submit,Q111_Click Count,Q62_2,Q63_First Click,Q63_Last Click,Q63_Page Submit,Q63_Click Count,Q93,Q94,Q98_First Click,Q98_Last Click,Q98_Page Submit,Q98_Click Count,Q106_First Click,Q106_Last Click,Q106_Page Submit,Q106_Click Count,Q103_First Click,Q103_Last Click,Q103_Page Submit,Q103_Click Count,Q107_1,Q107_2,Q107_3,Q107_4,Q108,Q109_First Click,Q109_Last Click,Q109_Page Submit,Q109_Click Count,Q23,Q23_15_TEXT,Q3,Q4,Q5,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q54_1,Q54_2,Q54_3,Q54_4,Q59,Q65_First Click,Q65_Last Click,Q65_Page Submit,Q65_Click Count,Q24,Q25,Q26,Q27,Q28,Q29,Q33,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,fdback_1,fdback_2,fdback_3,fdback_4,Q58,Q66_First Click,Q66_Last Click,Q66_Page Submit,Q66_Click Count,Q50,Q51,Q67_First Click,Q67_Last Click,Q67_Page Submit,Q67_Click Count,Q53_1,Q53_2,Q53_3,Q53_4,Q58.1,Q68_First Click,Q68_Last Click,Q68_Page Submit,Q68_Click Count,Q72_First Click,Q72_Last Click,Q72_Page Submit,Q72_Click Count,Q74,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Q80_First Click,Q80_Last Click,Q80_Page Submit,Q80_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,Q83,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,Q86_First Click,Q86_Last Click,Q86_Page Submit,Q86_Click Count,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q89,Q90,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,Q99_1,Q99_2,Q99_3,Q99_4,Q100,Q101_First Click,Q101_Last Click,Q101_Page Submit,Q101_Click Count,Q124,Q55,Q69_First Click,Q69_Last Click,Q69_Page Submit,Q69_Click Count,Q119_First Click,Q119_Last Click,Q119_Page Submit,Q119_Click Count,qreg,showexamplan,show_stress,stress_A,stress_B,stress_C,stress_D,stress_E,stress_F,showdailyplan,showgrowthmindset,intro_A,intro_B,Create New Field or Choose From Dropdown...,modifiedsurvey,dailyplanemail,growthmindsetemail,examplanemail,stressemail
6,2020-01-18 14:26:24,2020-01-18 14:33:01,Survey Preview,100,396,True,2020-01-18 14:33:01,R_sdJfWuQzwVqtm81,,preview,EN,0.0,0.0,12.437999999999999,0.0,,,,,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,197.25,206.067,206.69799999999998,2.0,,,,,,,,,,,,,,,,,,,,,,,,"Perform exercises on PCRS,Notes from Rehearse/Lecture",,,,,11.148,13.585999999999999,18.063,2.0,,,,,Mostly agree,93.601,93.601,95.165,1.0,,,,,,,,,,,,,,,,,,,,,,,31.576999999999998,31.576999999999998,32.967,1.0,,,,,Mostly agree,5.52,5.52,15.24,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nope,1.214,1.214,5.757999999999999,1.0,,,,,,yes,yes,yes,yes,no,yes,yes,no,no,,,,,toacknowledgexamisdone,,,no,yes
7,2020-01-19 12:43:36,2020-01-19 12:51:13,Survey Preview,100,456,True,2020-01-19 12:51:13,R_2wMsoylapvP5dEZ,,preview,EN,,,,,19.992,41.422,48.982,4.0,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,3.8089999999999997,19.796,21.666,2.0,Strongly Agree,Somewhat Disagree,107.51299999999999,118.255,121.13600000000001,3.0,0.0,0.0,160.379,0.0,0.0,0.0,42.58,0.0,,,,,Somewhat Agree,8.977,10.283,32.48,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,8.484,0.0,,,,,Mostly agree,3.557,3.557,9.652999999999999,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.063,0.0,,,,,,no,yes,no,no,no,no,no,no,no,no,no,yes,,toacknowledgexamisdone,,,,yes
8,2020-01-19 15:03:30,2020-01-19 15:05:23,IP Address,100,113,True,2020-01-19 15:05:24,R_3EZvlmfPnNxaEv3,,anonymous,EN,,,,,0.0,0.0,10.620999999999999,0.0,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,1.242,1.242,9.493,1.0,Strongly Disagree,Strongly Disagree,2.487,5.415,6.26,3.0,0.0,0.0,2.287,0.0,0.0,0.0,1.821,0.0,TEST,TEST,TEST,TEST2,Somewhat Agree,5.906000000000001,66.84,74.48100000000001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.4169999999999998,0.0,,,,,,no,no,no,yes,no,yes,no,no,no,no,no,yes,,toacknowledgexamisdone,,,,
9,2020-01-19 15:06:33,2020-01-19 15:12:27,IP Address,100,353,True,2020-01-19 15:12:28,R_1od7yjwMtbH5uNu,,anonymous,EN,4.383,4.383,4.9110000000000005,1.0,,,,,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,2.745,2.745,13.622,1.0,Agree,Somewhat Agree,1.072,1.673,2.5789999999999997,2.0,0.0,0.0,1.213,0.0,0.0,0.0,3.641,0.0,,,,,Slightly Agree,3.2969999999999997,3.2969999999999997,4.245,1.0,Working with other students,,,,,2.001,2.001,3.342,1.0,,,,,Somewhat agree,0.8079999999999999,0.8079999999999999,1.726,1.0,,Obstacles you may encounter in next 24 hours,,,,,,9.343,18.304000000000002,20.352,2.0,,,,,Mostly agree,1.297,1.935,2.322,2.0,,,0.0,0.0,4.251,0.0,,,,,Somewhat agree,2.293,2.293,3.266,1.0,0.0,0.0,9.472000000000001,0.0,,20.794,20.794,20.701999999999998,1.0,0.0,0.0,7.944,0.0,0.0,0.0,4.912,0.0,,3.647,172.86900000000003,172.882,2.0,3.134,3.134,4.13,1.0,0.0,0.0,0.98,0.0,TESTING,TESTING AGAIN,1.7280000000000002,4.135,7.303999999999999,2.0,,,,,Mostly Agree,1.858,2.571,2.9410000000000003,2.0,,,0.0,0.0,33.268,0.0,,,,,,yes,yes,yes,no,yes,no,yes,yes,yes,yes,yes,no,,toacknowledgexamisdone,no,,yes,yes
12,2020-01-19 21:27:48,2020-01-19 21:29:42,Survey Preview,100,113,True,2020-01-19 21:29:42,R_24N7d6LlRazA5DW,,preview,EN,0.0,0.0,2.6910000000000003,0.0,,,,,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,2.454,2.454,10.502,1.0,,,0.0,0.0,1.5930000000000002,0.0,0.0,0.0,1.001,0.0,0.0,0.0,1.1909999999999998,0.0,,,,,Slightly Agree,1.4409999999999998,1.4409999999999998,18.139,1.0,Worksheets from Rehearse/Lecture,,,,,1.966,3.136,3.611,2.0,,,,,Slightly Agree,1.4140000000000001,1.4140000000000001,2.34,1.0,,Goals for the next 24 hours,,,,,,1.26,2.6010000000000004,4.047,2.0,,,,,,2.509,4.688,5.141,2.0,,,,,,,,,,,,,,,,0.0,0.0,1.453,0.0,,3.1510000000000002,3.1510000000000002,3.1630000000000003,1.0,0.0,0.0,0.9840000000000001,0.0,0.0,0.0,1.4280000000000002,0.0,,2.714,2.714,2.7239999999999998,1.0,0.0,0.0,3.6919999999999997,0.0,0.0,0.0,1.889,0.0,,,3.3169999999999997,3.3169999999999997,3.321,1.0,,,,,Slightly Agree,1.641,3.404,3.988,4.0,,,0.0,0.0,4.86,0.0,0.823,1.328,16.77,2.0,,yes,no,yes,yes,yes,no,yes,yes,yes,yes,yes,no,,toacknowledgexamisdone,yes,,no,
14,2020-01-22 07:03:13,2020-01-22 07:16:13,Survey Preview,100,780,True,2020-01-22 07:16:13,R_325dXfXKR9XIX9V,,preview,EN,0.0,0.0,38.305,0.0,,,,,ee26b0dd4af7e749aa1a8ee3c10ae9923f618980772e473f8819a5d4940e0db27ac185f8a0e1d5f84f88bc887fd67b143732c304cc5fa9ad8e6f57f50028a8ff,7.5520000000000005,7.5520000000000005,11.35,1.0,,,0.0,0.0,7.977,0.0,78.47399999999999,78.47399999999999,145.149,1.0,0.0,0.0,44.75,0.0,,,,,,0.0,0.0,7.772,0.0,,,,,,,,,,,,,,,,,,,,"Goals for the next 24 hours,Obstacles you may encounter in next 24 hours",,,,,,11.284,258.705,259.23400000000004,5.0,,,,,,0.0,0.0,3.637,0.0,,,0.0,0.0,30.811,0.0,,,,,,0.0,0.0,207.138,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,4.572,0.0,0.0,0.0,3.325,0.0,,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,,toacknowledgexamisdone,no,,,no
15,2020-01-22 12:55:54,2020-01-22 13:12:44,IP Address,100,1009,True,2020-01-22 13:12:44,R_1HiaCFuBGh8WvJ3,,anonymous,EN,,,,,0.0,0.0,28.320999999999998,0.0,e7a99951c1753e86790f4933e6735ef42cef8495a4a5aa61b1e41c547f0a3b1cd8461525e5460177ffeae395017274d4a7b95a875dbaeb113d533885066d2626,1.249,16.615,17.205,2.0,Agree,Somewhat Agree,8.771,10.953,11.77,2.0,0.0,0.0,3.555,0.0,1.5530000000000002,1.5530000000000002,2.153,1.0,,,,,Mostly Agree,1.321,2.122,2.6180000000000003,2.0,"Working with other students,Posted Slides and other resources",,,,,27.535999999999998,28.673000000000002,35.499,2.0,,,,,Slightly Agree,1.9909999999999999,1.9909999999999999,3.037,1.0,,Goals for the next 24 hours,,,,,,1.9469999999999998,1.9469999999999998,3.53,1.0,,,,,Mostly agree,0.9890000000000001,0.9890000000000001,1.702,1.0,,,0.0,0.0,3.8539999999999996,0.0,,,,,Mostly agree,1.305,1.305,2.282,1.0,0.0,0.0,53.761,0.0,,7.7139999999999995,88.258,88.265,3.0,7.319,7.319,323.558,1.0,15.773,15.773,96.102,1.0,,1.609,60.85,60.855,6.0,6.091,70.61,153.033,5.0,9.66,9.66,44.243,1.0,,,22.519000000000002,22.519000000000002,22.522,1.0,,,,,Somewhat Agree,2.128,2.128,5.006,1.0,Somewhat Agree,,0.9640000000000001,4.505,4.961,2.0,1.355,1.355,9.472999999999999,1.0,,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,,toacknowledgexamisdone,no,yes,no,no
17,2020-01-25 16:13:21,2020-01-25 16:36:49,IP Address,100,1408,True,2020-01-25 16:36:50,R_3McjxBk5g4dR5h6,,anonymous,EN,0.75,1.587,8.049,2.0,,,,,c03e9f1c0d9bbafc3a11e5a42fdd28b033502b613eee3507e83135fa79e43452e29193b8d4dfbf6b88ee66d2bbf53fe7d1357b352c4574ea68583a2bf7cd471f,0.975,9.529,21.491,3.0,Agree,Somewhat Disagree,8.219,27.988000000000003,34.39,5.0,1.295,2.58,17.817,2.0,2.6180000000000003,54.873000000000005,64.889,15.0,Helpful,Short tips will help me remember them better instead of long drawn-out tips. I can easily remember and prioritize the points I need.,"I could take a break between my work times and learn to not do marathons as much, even though I’m in the zone of learning",Introducing learning management techniques like Pomodoro technique and Feynman techniques would be helpful since this goes towards helping students learn. The repetition aspect mentioned was really helpful. These study tips are ones I personally use. ,Mostly Agree,1.4240000000000002,217.803,218.755,15.0,"Past midterms,Prepare exercises on PCRS,Perform exercises on PCRS,Videos on PCRS,Piazza discussion board,Working with other students,Office Hours,Worksheets from Rehearse/Lecture",,"Past midterms: this helps me gauge what type of questions I may encounter and how I may answer them. 

Prepare/Perform Exercises on PCRS: these help me solidify uncertainties in my learning as I’m able to go back to them whenever I need.

Videos on PCRS: Helpful with understanding “how” something works the way it works.

Piazza Discussion Board: Helpful to learn from others and help me learn when I teach them.

Working with Other Students: Super helpful as I can gain feedback and teamwork at once, without waiting for replies as things in real-life operate differently than on discussion boards. Helps navigate nuances of learning more efficiently and shortens time taken while learning alone. Have many questions and uncertainties answered at once and adapt to real life.

Office Hours: usually my favourite and my go-to for any burning questions or assignment related stuff. Helpful for debugging and learning the true application of programming logic and concepts in real life. Again, just as helpful if not more helpful than working with other students. On-demand learning is best as I can easily adapt my thinking patterns based on feedback and learn how to think programmatically without getting answers from online or going through the frustrating process of not having people understand my code issues from discussion boards.


Worksheets: great for learning a new topic and practicing it right then and there. Good for developing neural pathways to remember the concepts and help with logic, programming, and tests.","I personally like office hours, working with others, worksheets, and doing the PCRS Prepare/Perform exercises as I’m more hands-on type of learner and coding is very hands-on. I would also add that I should write things down or draw out a problem when I’m stuck to help me visualize the questions better (which I don’t do enough). These resources will help me learn to be proactive in seeking help and not being afraid to fail. It forces me to think about how I think and apply that to questions. ","I will practice the worksheets, PCRS Prepare/Perform exercises, and go to office hours for help. They definitely help with my understanding. I will also ask questions on Discussion Board if I need (but only if I’ve a specific question). I will start doing so the week of Jan 27 to prepare in advance. I will go to Gerstein, at home, or go to Sid Smith cafe with friends as studying with friends helps my concentration (keeps me accountable). I will study for between 30 mins - 1 hour if necessary for each topic, starting from reviewing week 1 material all the way to the material before the exam.",4.359,771.209,877.2919999999999,69.0,Good. ,I can hold myself accountable by writing down my plans.,My life or other priorities such as exams before this exam may interfere with my study plans so I need to be flexible in knowing what to expect and what I should prioritize. ,I would like this to help with overall preparation for any exam. This is useful in knowing what I may need to do to get things done in a reasonable fashion.,Mostly agree,0.7659999999999999,128.575,129.22899999999998,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly Agree,N/a,0.856,7.327000000000001,10.242,5.0,2.5140000000000002,2.5140000000000002,18.044,1.0,,yes,no,no,yes,no,no,yes,no,no,no,yes,no,,toacknowledgexamisdone,,,no,
18,2020-01-25 16:46:42,2020-01-25 16:51:51,IP Address,100,309,True,2020-01-25 16:51:52,R_24INHRWjIbLaawb,,anonymous,EN,3.648,3.648,4.0089999999999995,1.0,,,,,3ea7bcd4d4aa041410025e285e1dc719491a11f721ecb3e8463bceffede203fa9a8c7cb02a9f5e9cc8f1640b62e6484a9ca7cdf54689641a966d8ee3a0b175ea,1.147,19.737000000000002,46.788000000000004,3.0,Agree,Disagree,10.585999999999999,16.987000000000002,18.224,2.0,0.0,0.0,3.0439999999999996,0.0,0.0,0.0,1.9669999999999999,0.0,I never seen something like this before.,It gives me some better study method that I didn't know before.,It seems good to me.,I think it is really good.,Mostly Agree,6.46,110.01700000000001,110.84100000000001,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.2739999999999996,0.0,Useful.,Let me know how to reduce stress.,It is good to me.,I don't know where it can be improved.,Somewhat agree,1.642,57.066,57.919,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mostly Agree,It is really helpful.,1.787,9.913,25.622,3.0,1.43,1.43,25.301,1.0,,no,yes,yes,no,yes,no,no,no,no,no,yes,no,,toacknowledgexamisdone,,,,no
19,2020-01-25 16:45:06,2020-01-25 16:54:00,IP Address,100,534,True,2020-01-25 16:54:01,R_2EmLGO1lHEefd3R,,anonymous,EN,0.0,0.0,3.359,0.0,,,,,44d0067250f49aaf135c63bcdd02f323ac60fa1e56e2923de2cbdaa2fc2125d305f1ca4f175369e73ee2a041887965e3dba3d95123110850f85b2c01a5c1d38e,1.069,125.24799999999999,129.034,7.0,Strongly Agree,Strongly Agree,14.505,15.298,16.592,2.0,0.0,0.0,2.237,0.0,0.0,0.0,3.147,0.0,Good,useful,spend too much time,make it shorter,Somewhat Agree,35.067,156.35299999999998,157.827,8.0,,,,,,,,,,,,,,,,,,,one hr per day,Goals for the next 24 hours,,Yes. ,,,,2.926,49.515,102.01899999999999,3.0,Good,Useful,make it shorter,spend too much time,Somewhat agree,16.158,51.211999999999996,57.545,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat Agree,Good enough. ,8.924,14.304,32.699,2.0,11.657,11.657,22.081999999999997,1.0,,no,no,yes,no,no,yes,yes,yes,yes,no,yes,no,,toacknowledgexamisdone,yes,,,
